authority_id,direction,target_domain,target_page_or_org,opportunity_type,relevance_reason,target_audience,target_destination,contact_source,relationship_state,editorial_control,fee_required,link_attribute_expected,proof_dependency,identity_dependency,outreach_status,response_status,published_url,first_seen,last_checked,referral_sessions,qualified_referrals,notes
AUTH-LOG-001,Logistics,tianet.org,TIA Marketplace Associate Member directory,association_membership_directory,"Transportation Intermediaries Association is directly relevant to U.S. logistics and supplier/associate discovery.","3PLs; brokers; logistics operators",/logistics/direct-vehicle-transport-network/,"Official TIA membership/directory pages",RESEARCHED_NOT_CONTACTED,ASSOCIATION_APPROVAL,MEMBERSHIP_REQUIRED,UNKNOWN,"NONE for factual service/process profile; #362 required for case/result claims",#204,RESEARCH_ONLY,NOT_CONTACTED,,2026-08-11,2026-08-12,DATA_PENDING,DATA_PENDING,"Legitimate citation/profile class; do not count membership directory placement as earned editorial authority."
AUTH-LOG-002,Logistics,tianet.org,TIA News member contribution / spotlight,expert_contribution_editorial,"TIA News accepts member participation such as written interviews/articles, creating a relevant industry-education route when Hermes has a useful non-promotional topic.","3PLs; brokers; logistics professionals",/logistics/car-hauling-dispatch/,"Official TIA News/member participation pages",RESEARCHED_NOT_CONTACTED,EDITORIAL_REVIEW,"MEMBERSHIP_OR_ELIGIBILITY_REVIEW_REQUIRED",UNKNOWN,"#362 only if a customer/result/case claim is used",#204,BLOCKED_IDENTITY_AND_TOPIC_SELECTION,NOT_CONTACTED,,2026-08-11,2026-08-12,DATA_PENDING,DATA_PENDING,"Prefer process/data insight over sales copy; verify contributor eligibility before outreach."
AUTH-DEALER-001,Logistics,watda.org,Wisconsin Automobile & Truck Dealers Association Associate Membership,association_membership_directory,"Wisconsin dealer association audience aligns with the current dealer vehicle-transport and Wisconsin market pages.","Wisconsin auto and truck dealers",/logistics/dealer-vehicle-transportation/,"Official WATDA Associate Membership page",RESEARCHED_NOT_CONTACTED,ASSOCIATION_APPROVAL,MEMBERSHIP_REQUIRED,UNKNOWN,"NONE for factual service profile; #362 for cases/results",#204,BLOCKED_ENTITY_RECONCILIATION,NOT_CONTACTED,,2026-08-11,2026-08-12,DATA_PENDING,DATA_PENDING,"Strong local relevance; treat as association/commercial channel rather than independent editorial endorsement."
AUTH-DEALER-002,Logistics,niada.com,NIADA National Business Partner program,commercial_industry_partnership,"NIADA provides a vetted business-partner route to independent dealers, a direct audience for dealer/auction vehicle transport.","Independent auto dealers",/logistics/dealer-vehicle-transportation/,"Official NIADA business-partner page",RESEARCHED_NOT_CONTACTED,PARTNER_APPROVAL,COMMERCIAL_TERMS_EXPECTED,UNKNOWN,"NONE for factual offer; #362 for proof/result claims",#204,BLOCKED_ENTITY_AND_MEASUREMENT,NOT_CONTACTED,,2026-08-11,2026-08-12,DATA_PENDING,DATA_PENDING,"Classify as commercial partnership/distribution, not earned editorial authority."
AUTH-AUCTION-001,Logistics,naaa.com,NAAA Supplier / Publisher Associate Membership,association_membership_directory,"NAAA Associate Membership explicitly covers entities offering goods or services to member auctions, matching auction vehicle-movement demand.","Auto auctions; remarketers; auction industry suppliers",/logistics/auction-vehicle-pickup/,"Official NAAA membership application page",RESEARCHED_NOT_CONTACTED,COMMITTEE_AND_BOARD_APPROVAL,MEMBERSHIP_REQUIRED,UNKNOWN,"NONE for factual profile; #362 for case/result claims",#204,HOLD_NEXT_REVIEW_WINDOW,NOT_CONTACTED,,2026-08-11,2026-08-12,DATA_PENDING,DATA_PENDING,"July 2026 September-cycle deadlines passed; late applications are held for December 2026 review. No rush action."
AUTH-EDITORIAL-001,Logistics,freightwaves.com,FreightWaves contributed industry content,expert_contribution_editorial,"FreightWaves publishes contributed industry commentary and reaches trucking/logistics operators relevant to Hermes process expertise.","Carriers; brokers; trucking and freight professionals",/logistics/car-hauling-dispatch/,"Official FreightWaves editorial/contact routes",RESEARCHED_NOT_CONTACTED,EDITORIAL_REVIEW,NO_KNOWN_PLACEMENT_FEE_FOR_EDITORIAL_SUBMISSION,UNKNOWN,"#362 required for customer/result/testimonial claims; process/data topics can avoid proof dependency",#204,BLOCKED_TOPIC_AND_MEASUREMENT,NOT_CONTACTED,,2026-08-11,2026-08-12,DATA_PENDING,DATA_PENDING,"Pitch a useful operations/process/data insight; never disguise promotional copy as editorial."
AUTH-PAID-001,Logistics,automotivelogistics.media,Automotive Logistics Partner Content,paid_industry_media,"Automotive Logistics reaches finished-vehicle logistics decision makers but current Partner Content is explicitly sponsored/partner material.","Finished-vehicle logistics; OEM; carrier; automotive supply-chain professionals",/logistics/direct-vehicle-transport-network/,"Official Automotive Logistics Partner Content examples",RESEARCHED_NOT_CONTACTED,SPONSORED_COMMERCIAL_CONTROL,YES,UNKNOWN,"#362 for any case/result claims",#204,HOLD_PAID_CHANNEL,NOT_CONTACTED,,2026-08-11,2026-08-12,DATA_PENDING,DATA_PENDING,"Never count this opportunity as earned editorial backlink/endorsement; evaluate only as paid media if later justified by economics."
AUTH-CARHAUL-001,Logistics,autohaulersamerica.com,Auto Haulers Association of America Supplier Membership,association_supplier_membership,"AHAA is purpose-built for auto haulers and vehicle-logistics providers and publicly lists supplier members, giving the closest vertical fit to Hermes car-hauling operations.","Auto-hauling carriers; suppliers; vehicle-logistics operators",/logistics/car-hauling-dispatch/,"Official AHAA supplier-membership and member-list pages",RESEARCHED_NOT_CONTACTED,ASSOCIATION_APPROVAL,YES,UNKNOWN,"NONE for factual service profile; #362 for proof/result claims",#204,BLOCKED_ENTITY_AND_COMMERCIAL_REVIEW,NOT_CONTACTED,,2026-08-12,2026-08-12,DATA_PENDING,DATA_PENDING,"Supplier membership includes paid recognition/benefits; treat as association/commercial visibility, not earned editorial authority."
AUTH-TRUCKING-001,Logistics,trucking.org,American Trucking Associations Allied Companies Membership,association_supplier_membership,"ATA Allied Companies membership is designed for non-carrier companies marketing goods/services to trucking businesses and provides access to a broad trucking marketplace.","U.S. trucking companies; fleet operators; industry suppliers",/logistics/car-hauling-dispatch/,"Official ATA membership-types page",RESEARCHED_NOT_CONTACTED,ASSOCIATION_APPROVAL,MEMBERSHIP_REQUIRED,UNKNOWN,"NONE for factual service profile; #362 for proof/result claims",#204,BLOCKED_ENTITY_AND_ECONOMIC_REVIEW,NOT_CONTACTED,,2026-08-12,2026-08-12,DATA_PENDING,DATA_PENDING,"Broader trucking relevance than AHAA; activate only if audience/economics justify it after #206 evidence."
AUTH-FLEET-001,Logistics,afla.org,Automotive Fleet & Leasing Association individual membership / company sponsorship,association_and_sponsorship,"AFLA includes fleet managers/buyers, dealers, remarketers and specialized suppliers, creating a relevant fleet/remarketing audience for vehicle-transport services.","Fleet managers; buyers; dealers; remarketers; fleet suppliers",/logistics/direct-vehicle-transport-network/,"Official AFLA membership page",RESEARCHED_NOT_CONTACTED,ASSOCIATION_OR_SPONSOR_APPROVAL,"INDIVIDUAL_MEMBERSHIP_OR_COMPANY_SPONSORSHIP",UNKNOWN,"NONE for factual service/process content; #362 for case/result claims",#204,BLOCKED_FIT_AND_ECONOMIC_REVIEW,NOT_CONTACTED,,2026-08-12,2026-08-12,DATA_PENDING,DATA_PENDING,"Company-level route is sponsorship rather than ordinary membership; classify economics separately and do not count sponsorship as earned authority."
