query,cluster,intent,kd_proxy,cpc_signal,canonical_owner,recommended_action,serp_gap,conversion_action,cannibalization_risk
car hauling dispatch services,car_hauling_dispatch,commercial,medium,high,/logistics/car-hauling-dispatch/,strengthen_existing,"Specialist competitors rank, but many rely on generic high-paying-load and 24/7 claims with weak qualification and evidence boundaries",carrier_intake,low
car hauler dispatcher,car_hauling_dispatch,commercial,medium,high,/logistics/car-hauling-dispatch/,strengthen_existing,"Exact-match specialist pages exist; win through carrier control, equipment fit, authority readiness and structured intake",carrier_intake,low
car hauler dispatch service for owner operators,car_hauling_dispatch,commercial,low_medium,high,/logistics/car-hauling-dispatch/,strengthen_existing,"Long-tail fit aligns closely with current audience and has weaker generic competition",carrier_intake,low
car hauling dispatch for small fleets,car_hauling_dispatch,commercial,low_medium,high,/logistics/car-hauling-dispatch/,strengthen_existing,"Competitors mention small fleets but rarely explain fleet-size qualification or operating controls",carrier_intake,low
new authority car hauling dispatch,car_hauling_dispatch,commercial_problem,low_medium,high,/logistics/car-hauling-dispatch/,strengthen_existing_and_link,"Clear readiness problem; avoid promising immediate dispatch and connect to existing new-authority path",carrier_intake,medium
car hauling dispatch service cost,car_hauling_dispatch,commercial_comparison,medium,high,/logistics/car-hauling-dispatch/,add_faq_or_comparison_section,"Competitor pricing ranges and percentage plans appear, while many pages hide scope and fee boundaries",carrier_intake,low
car hauling dispatch vs self dispatch,car_hauling_dispatch,comparison,low,medium,/logistics/car-hauling-dispatch/,add_comparison_section,"Natural comparison intent can qualify prospects without a thin new page",carrier_intake,low
what does a car hauler dispatcher do,car_hauling_dispatch,problem_solving,low,medium,/logistics/car-hauling-dispatch/,add_explanatory_section,"Many service pages list tasks without separating dispatcher coordination from carrier control",carrier_intake,low
car hauling loads for owner operators,car_hauling_loads,commercial,medium,high,/load-board/,strengthen_existing,"Results mix dispatch services and load-board products; a transparent demo-to-intake path is distinctive",carrier_workspace,low
car hauler load board,car_hauling_loads,commercial,medium,high,/load-board/,strengthen_existing,"Strong product intent; page must clearly separate fictional demo loads from real access review",carrier_workspace,low
auto transport loads for owner operators,car_hauling_loads,commercial,medium,high,/load-board/,strengthen_existing,"Broader auto-transport terminology can be covered naturally without a duplicate page",carrier_workspace,low
how to find car hauling loads,car_hauling_loads,problem_solving,low_medium,medium,/load-board/,add_guide_section,"Competitors emphasize boards and brokers but often omit equipment, deadhead, documents and carrier approval criteria",carrier_workspace,low
car hauling loads for new authority,car_hauling_loads,commercial_problem,low_medium,high,/load-board/,add_readiness_boundary,"High-conversion readiness question; explain broker restrictions and route to review rather than guaranteeing loads",carrier_workspace,medium
car hauler load evaluation checklist,car_hauling_loads,problem_solving,low,medium,/load-board/,link_existing_or_create_asset_later,"Useful linkable-asset intent; first add concise evaluation framework to Load Board and measure",carrier_workspace,low
seo for logistics companies,logistics_seo,commercial,medium,high,/services/seo-for-logistics-companies/,strengthen_existing,"Specialist agencies exist but many use broad claims and generic proof unrelated to logistics",seo_intake,low
logistics seo agency,logistics_seo,commercial,medium,high,/services/seo-for-logistics-companies/,strengthen_existing,"Agency-intent query needs clear scope, evidence process and qualification",seo_intake,low
trucking company seo services,logistics_seo,commercial,medium,high,/services/seo-for-logistics-companies/,add_entity_language,"Current page covers logistics broadly; add trucking/carrier/fleet terminology without splitting ownership",seo_intake,low
seo for dispatch companies,logistics_seo,commercial,low_medium,high,/services/seo-for-logistics-companies/,add_dispatch_specific_section,"Niche overlap with Hermes first-party architecture and lower apparent specialist competition",seo_intake,low
seo for freight brokers,logistics_seo,commercial,low_medium,high,/services/seo-for-logistics-companies/,add_broker_specific_section,"Search results mix broad logistics agencies; freight-broker lead paths and shipper intent are underexplained",seo_intake,low
logistics website seo audit,logistics_seo,commercial_problem,low,high,/services/seo-for-logistics-companies/,add_audit_scope,"Problem-solving audit intent can produce a qualified inquiry and support a future free audit template",seo_intake,low
seo for independent auto dealers,auto_dealer_seo,commercial,low_medium,high,/services/seo-for-independent-auto-dealers/,strengthen_existing,"Broad automotive SEO is competitive; independent-dealer specialization is a narrower defensible owner",seo_intake,low
auto dealer seo services,auto_dealer_seo,commercial,medium_high,high,/services/seo-for-independent-auto-dealers/,strengthen_existing,"Established automotive agencies dominate broad terms; compete through independent dealer and inventory governance depth",seo_intake,low
used car dealer seo,auto_dealer_seo,commercial,medium,high,/services/seo-for-independent-auto-dealers/,add_used_inventory_language,"Relevant narrower terminology; include naturally in inventory and evergreen-content sections",seo_intake,low
car dealership seo audit,auto_dealer_seo,commercial_problem,low_medium,high,/services/seo-for-independent-auto-dealers/,add_audit_scope,"Audit intent is less dominated than broad agency terms and can qualify an existing-site prospect",seo_intake,low
inventory page seo for car dealers,auto_dealer_seo,problem_solving,low,medium,/services/seo-for-independent-auto-dealers/,strengthen_existing,"Competitor content confirms inventory-page discipline as a distinct dealer problem",seo_intake,low
local seo for independent car dealers,auto_dealer_seo,commercial,low_medium,high,/services/seo-for-independent-auto-dealers/,strengthen_existing_and_link,"Local intent is valuable but eligibility and real-location proof must remain explicit",seo_intake,medium
