platform_or_source,entity_scope,observed_status,risk,verification_required,allowed_next_action,priority,owner_status
Hermes website Organization schema,Hermes ecosystem,"Published Organization entity with approved website, logo, contacts and service relationships",medium,"Confirm legal name, public phone, public email, address/service-area presentation, leadership and approved sameAs targets against owner-controlled records","Update schema only after verification; keep departments and service brands distinct",P0,owner_confirmation_required
Wisconsin legal registration,Hermes Logistics LLC,"Canonical legal record not captured in the reviewed repository or mailbox evidence",high,"Owner-controlled Wisconsin registration documents or official registry result",Record exact legal name and current registered/principal address in a private entity record; publish only approved customer-facing facts,P0,owner_action_required
FMCSA entity,Hermes Logistics or operating carrier entity,"No approved FMCSA entity identifier confirmed for public sameAs use",high,"Official FMCSA record and explicit relationship between Hermes and any motor carrier/broker authority",Add FMCSA sameAs or MC/DOT proof only when the public entity and operating role are confirmed,P0,owner_action_required
Dun & Bradstreet public listing,Hermes Logistics LLC,"A public listing appears in search and may show company identity/address/principal information",high,"Compare with current legal registration and owner-approved NAP",Claim/correct only after canonical legal and public-facing data are confirmed,P1,verification_required
Buzzfile public listing,Hermes Logistics LLC,"A public listing appears with data that conflicts with another directory result",high,"Compare listing source, address, phone and company status with canonical owner records",Request correction or suppression after verification; do not copy the listing into schema,P1,verification_required
LinkedIn company page,Hermes Logistics / Hermes ecosystem,"Controlled company page status not confirmed; public personal profiles mention Hermes roles",medium,"Owner-approved company page URL, admins, current leadership/affiliations and public description",Create or claim one official company page and add only verified employee/leadership relationships,P1,owner_action_required
LinkedIn personal profiles,Named people associated with Hermes,"Several public profiles mention Hermes but current status and permission for sameAs are not confirmed",medium,"Identity, current role, permission and public relevance",Use as sameAs or expert proof only with explicit verification and permission,P1,verification_required
Work.ua company profile,Hermes Logistics,"Public profile appears to contain old scale, staffing, agency or capability claims that may exceed current approved public evidence",high,"Owner review of every quantitative and operating claim",Edit or remove unsupported claims; keep only current role, service, contact and hiring facts,P0,owner_action_required
Work.ua / robota.ua resumes,Individuals associated with Hermes,"Public resumes appear in branded search and may create stale role/entity signals",medium,"Individual permission, current role and whether the profile should remain public",Correct current affiliation where owner/individual controls it; do not use private resume details as website proof,P2,verification_required
Google Business Profile,Hermes Logistics location/service-area entity,"No verified eligible profile confirmed",high,"Proof of real customer-facing storefront or employees visiting customers in an eligible service-area model; staffed/signage rules where applicable",Create or claim only after eligibility is documented; use one accurate profile for the real location/service area,P0,eligibility_required
Google Business Profile,Website Development / SEO online services,"Online-only eligibility is not established and is likely ineligible without face-to-face service",high,"Evidence of in-person customer interaction during stated hours",Do not create a separate online-only or virtual-office GBP; use brand/search profiles and non-map channels instead,P0,blocked_without_eligibility
Apple Business Connect brand,Hermes ecosystem or verified service brand,"No controlled brand account confirmed",medium,"Owner-controlled Apple Account, legal company verification, approved brand name/logo/domain",Create/verify brand presence and branded-mail assets; add Maps places only for verified real locations,P1,owner_action_required
Apple Maps place,Hermes Logistics location,"No verified place confirmed",high,"Real eligible location, accurate NAP, customer-facing status and owner authorization",Claim/correct place only after location verification; do not create a virtual location,P1,eligibility_required
Bing Places,Hermes Logistics eligible location,"No controlled listing confirmed",medium,"Canonical NAP, eligible real location/service model and account ownership",Claim or add the eligible business for free after NAP verification,P1,owner_action_required
Yelp Business Page,Hermes Logistics or eligible service business,"No controlled page confirmed",medium,"Canonical business identity, category, service model, phone/email and owner authorization",Search for an existing page; claim or add a free page only with accurate identity and service facts,P1,owner_action_required
Clutch Basic,Hermes IT / SEO services,"No controlled profile confirmed",low_medium,"Approved service brand, website, services, portfolio/cases and review-permission process",Create a free Basic profile for the B2B service provider; publish only real cases and verified client reviews,P1,owner_action_required
The Manifest,Hermes IT / SEO services,"No controlled presence confirmed; may be derived from Clutch",low,"Verified Clutch/company profile and approved service description",Use the Clutch relationship rather than creating inconsistent duplicate data,P2,dependent_on_clutch
Chamber of Commerce,Hermes Logistics local entity,"Membership/free listing availability not confirmed",low_medium,"Eligible local company, canonical NAP, cost and membership terms",Use only legitimate local chamber opportunities; do not pay solely for a followed link,P2,research_required
Logistics directories,Hermes Logistics,"No verified controlled directory set confirmed",medium,"Editorial quality, real audience, accurate category/NAP, no spam or paid-link manipulation",Prioritize relevant carrier/dealer/logistics associations and directories; skip mass-submission networks,P1,research_required
GitHub organization,IT Development,"Repository is public but a distinct approved organization profile and service description are not confirmed",low,"Approved brand relationship, public repositories, contact path and security boundary",Improve the public GitHub profile with verified description, website and selected case repositories; never expose private repos or credentials,P1,owner_action_required
DuckDuckGo brand results,Hermes ecosystem,"Discoverability and entity consistency require periodic sampling; no direct business-profile control confirmed",low_medium,"Sample branded and commercial queries, source domains and conflicting entity results",Track result consistency and improve authoritative web/entity sources; do not create DDG-specific doorway pages,P2,monitor
Yahoo brand results,Hermes ecosystem,"Discoverability and entity consistency require periodic sampling; results may rely on broader web/index partners",low_medium,"Sample branded and commercial queries, source domains and conflicting entity results",Track consistency and correct authoritative sources; do not build Yahoo-specific pages,P2,monitor
Google Search Console,Hermes domain,"Domain Property ownership and sitemap submission not confirmed",high,"Owner-controlled Domain Property and current exports",Verify property, submit all current sitemaps and record baseline,P0,owner_action_required
Bing Webmaster Tools,Hermes domain,"Ownership and sitemap submission not confirmed",high,"Owner-controlled verified property and current exports",Verify property, submit all current sitemaps and record crawl/query baseline,P0,owner_action_required
